"subject","item","response","response_time","ambiguity","group","gap_filling","ambiguity_G","group_G","gap_filling_G"
"Native 22",3,1,"1428",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 22",4,1,"1690",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 22",10,1,"1689",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 22",1,1,"1276",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 22",9,1,"766",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 22",7,1,"651",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 22",18,1,"1044",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 22",13,1,"1542",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 22",15,0,"4972",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 22",6,1,"1814",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 22",12,1,"1422",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 22",16,1,"1614",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 23",3,1,"3055",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 23",5,1,"1498",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 23",6,1,"2284",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 23",18,1,"1982",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 23",9,1,"1633",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 23",15,0,"6917",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 23",11,1,"4519",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 23",14,1,"1006",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
