"subject","item","region","measure","condition","rawdata","group_G"
"Native 19",46,2,"fp",3,413,"Native"
"Native 19",40,2,"fp",1,188,"Native"
"Native 19",39,2,"fp",4,151,"Native"
"Native 19",32,2,"fp",1,534,"Native"
"Native 19",35,2,"fp",4,211,"Native"
"Native 19",26,2,"fp",3,153,"Native"
"Native 19",48,2,"fp",1,195,"Native"
"Native 19",41,2,"fp",2,322,"Native"
"Native 19",33,2,"fp",2,196,"Native"
"Native 19",38,2,"fp",3,258,"Native"
"Native 20",47,2,"fp",1,218,"Native"
"Native 20",33,2,"fp",3,213,"Native"
"Native 20",31,2,"fp",1,204,"Native"
"Native 20",46,2,"fp",4,175,"Native"
"Native 20",45,2,"fp",3,351,"Native"
"Native 20",28,2,"fp",2,431,"Native"
"Native 20",26,2,"fp",4,429,"Native"
"Native 20",27,2,"fp",1,365,"Native"
"Native 20",34,2,"fp",4,489,"Native"
"Native 20",30,2,"fp",4,290,"Native"
"Native 20",44,2,"fp",2,412,"Native"
"Native 20",37,2,"fp",3,364,"Native"
"Native 20",32,2,"fp",2,308,"Native"
"Native 20",39,2,"fp",1,819,"Native"
"Native 20",35,2,"fp",1,407,"Native"
"Native 20",41,2,"fp",3,114,"Native"
"Native 20",29,2,"fp",3,211,"Native"
"Native 20",38,2,"fp",4,226,"Native"
"Native 20",40,2,"fp",2,230,"Native"
"Native 20",36,2,"fp",2,244,"Native"
"Native 20",25,2,"fp",3,779,"Native"
"Native 20",48,2,"fp",2,379,"Native"
"Native 20",42,2,"fp",4,298,"Native"
"Native 20",43,2,"fp",1,345,"Native"
"Native 21",36,2,"fp",3,205,"Native"
"Native 21",46,2,"fp",1,311,"Native"
"Native 21",45,2,"fp",4,230,"Native"
"Native 21",42,2,"fp",1,190,"Native"
"Native 21",41,2,"fp",4,260,"Native"
"Native 21",38,2,"fp",1,316,"Native"
"Native 21",28,2,"fp",3,191,"Native"
"Native 21",40,2,"fp",3,198,"Native"
"Native 21",47,2,"fp",2,202,"Native"
"Native 21",30,2,"fp",1,267,"Native"
"Native 21",43,2,"fp",2,743,"Native"
"Native 21",32,2,"fp",3,296,"Native"
"Native 21",35,2,"fp",2,354,"Native"
"Native 21",27,2,"fp",2,278,"Native"
"Native 21",31,2,"fp",2,157,"Native"
"Native 21",48,2,"fp",3,237,"Native"
"Native 21",29,2,"fp",4,195,"Native"
"Native 21",44,2,"fp",3,321,"Native"
"Native 21",33,2,"fp",4,154,"Native"
"Native 21",34,2,"fp",1,285,"Native"
"Native 21",26,2,"fp",1,488,"Native"
"Native 21",37,2,"fp",4,266,"Native"
"Native 21",39,2,"fp",2,236,"Native"
"Native 21",25,2,"fp",4,269,"Native"
"Native 22",27,2,"fp",3,492,"Native"
"Native 22",33,2,"fp",1,467,"Native"
"Native 22",47,2,"fp",3,591,"Native"
"Native 22",37,2,"fp",1,184,"Native"
"Native 22",35,2,"fp",3,664,"Native"
"Native 22",39,2,"fp",3,232,"Native"
"Native 22",48,2,"fp",4,406,"Native"
"Native 22",45,2,"fp",1,585,"Native"
"Native 22",43,2,"fp",3,192,"Native"
"Native 22",40,2,"fp",4,697,"Native"
"Native 22",29,2,"fp",1,1111,"Native"
"Native 22",36,2,"fp",4,745,"Native"
"Native 22",25,2,"fp",1,579,"Native"
"Native 22",26,2,"fp",2,186,"Native"
"Native 22",34,2,"fp",2,432,"Native"
"Native 22",38,2,"fp",2,210,"Native"
"Native 22",41,2,"fp",1,452,"Native"
"Native 22",28,2,"fp",4,194,"Native"
"Native 22",32,2,"fp",4,350,"Native"
"Native 22",42,2,"fp",2,578,"Native"
"Native 22",31,2,"fp",3,183,"Native"
"Native 22",46,2,"fp",2,206,"Native"
"Native 22",44,2,"fp",4,394,"Native"
"Native 22",30,2,"fp",2,527,"Native"
"Native 23",37,2,"fp",3,381,"Native"
"Native 23",30,2,"fp",4,408,"Native"
"Native 23",46,2,"fp",4,277,"Native"
"Native 23",43,2,"fp",1,588,"Native"
"Native 23",26,2,"fp",4,400,"Native"
"Native 23",25,2,"fp",3,315,"Native"
"Native 23",36,2,"fp",2,261,"Native"
"Native 23",34,2,"fp",4,231,"Native"
"Native 23",32,2,"fp",2,239,"Native"
"Native 23",33,2,"fp",3,388,"Native"
"Native 23",35,2,"fp",1,464,"Native"
"Native 23",41,2,"fp",3,223,"Native"
"Native 23",29,2,"fp",3,209,"Native"
"Native 23",45,2,"fp",3,200,"Native"
"Native 23",31,2,"fp",1,956,"Native"
"Native 23",28,2,"fp",2,251,"Native"
"Native 23",47,2,"fp",1,229,"Native"
"Native 23",27,2,"fp",1,152,"Native"
"Native 23",38,2,"fp",4,216,"Native"
"Native 23",44,2,"fp",2,0,"Native"
"Native 23",48,2,"fp",2,0,"Native"
"Native 23",40,2,"fp",2,0,"Native"
"Native 23",39,2,"fp",1,261,"Native"
"Native 23",42,2,"fp",4,175,"Native"
"Native 24",33,2,"fp",2,213,"Native"
"Native 24",27,2,"fp",4,241,"Native"
"Native 24",31,2,"fp",4,117,"Native"
"Native 24",48,2,"fp",1,0,"Native"
"Native 24",34,2,"fp",3,0,"Native"
"Native 24",39,2,"fp",4,189,"Native"
